,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sd[0],1.212,0.463,0.394,2.059,0.009,0.006,2489.0,3601.0,1.0
sd[1],0.066,0.066,0.0,0.184,0.001,0.001,3215.0,4231.0,1.0
sd[2],0.269,0.243,0.0,0.694,0.005,0.003,2987.0,4259.0,1.0
sd[3],1.191,0.445,0.425,2.017,0.012,0.008,1164.0,1816.0,1.0
sd[4],0.61,0.486,0.0,1.498,0.015,0.01,1153.0,3091.0,1.0
sd[5],0.602,0.497,0.001,1.505,0.022,0.016,594.0,1030.0,1.01
sd[6],0.562,0.447,0.0,1.372,0.014,0.01,1136.0,2295.0,1.0
sigma,0.193,0.179,0.024,0.494,0.004,0.003,2222.0,3999.0,1.0
alpha[0],-0.295,0.136,-0.545,-0.029,0.002,0.001,6942.0,7018.0,1.0
alpha[1],-0.343,0.025,-0.39,-0.296,0.0,0.0,16157.0,5921.0,1.0
alpha[2],-0.532,0.134,-0.783,-0.286,0.002,0.001,7608.0,4633.0,1.0
alpha[3],0.49,0.143,0.22,0.757,0.003,0.002,2286.0,3565.0,1.0
alpha[4],-0.383,0.464,-1.258,0.588,0.013,0.009,1503.0,1396.0,1.0
alpha[5],-0.328,0.5,-1.269,0.713,0.008,0.007,4563.0,2750.0,1.0
alpha[6],-0.337,0.546,-1.318,0.839,0.008,0.006,5275.0,4591.0,1.0
"w[0, 0]",-0.003,0.994,-1.866,1.815,0.007,0.014,17878.0,4839.0,1.0
"w[0, 1]",-0.461,0.827,-2.005,1.111,0.008,0.008,10104.0,5953.0,1.0
"w[0, 2]",0.008,0.992,-1.823,1.839,0.007,0.012,17666.0,5679.0,1.0
"w[0, 3]",-0.226,0.671,-1.487,1.065,0.007,0.007,9564.0,5396.0,1.0
"w[0, 4]",-0.182,0.629,-1.381,1.008,0.007,0.006,8208.0,6747.0,1.0
"w[0, 5]",2.245,0.736,0.912,3.665,0.009,0.006,6970.0,4579.0,1.0
"w[0, 6]",-0.329,0.601,-1.546,0.752,0.007,0.007,8517.0,5729.0,1.0
"w[0, 7]",0.042,1.034,-1.945,1.926,0.013,0.013,6370.0,4862.0,1.0
"w[0, 8]",0.007,0.998,-1.903,1.871,0.008,0.013,16863.0,5707.0,1.0
"w[0, 9]",0.0,0.983,-1.866,1.798,0.007,0.014,18613.0,5224.0,1.0
"w[0, 10]",0.001,0.997,-1.838,1.873,0.008,0.013,17384.0,5819.0,1.0
"w[0, 11]",0.001,0.993,-1.885,1.848,0.008,0.013,14881.0,5784.0,1.0
"w[0, 12]",-0.02,1.007,-1.903,1.854,0.008,0.013,16875.0,5830.0,1.0
"w[0, 13]",-0.003,0.988,-1.841,1.88,0.008,0.012,13877.0,5670.0,1.0
"w[0, 14]",-0.004,1.032,-1.951,1.893,0.008,0.014,15838.0,5574.0,1.0
"w[0, 15]",0.012,0.991,-1.8,1.916,0.008,0.013,15678.0,5601.0,1.0
"w[0, 16]",0.007,1.015,-1.941,1.88,0.008,0.013,15433.0,5466.0,1.0
"w[0, 17]",0.01,1.004,-1.915,1.847,0.012,0.012,7303.0,5908.0,1.0
"w[0, 18]",-0.023,1.025,-1.916,1.913,0.014,0.011,5348.0,5895.0,1.0
"w[0, 19]",-0.042,0.461,-0.928,0.847,0.006,0.006,6022.0,5053.0,1.0
"w[0, 20]",-0.002,0.483,-0.906,0.941,0.008,0.006,3769.0,4195.0,1.0
"w[0, 21]",0.012,0.996,-1.885,1.833,0.009,0.012,12768.0,6004.0,1.0
"w[0, 22]",-0.051,1.078,-2.083,1.931,0.02,0.014,3020.0,5099.0,1.0
"w[0, 23]",-0.019,0.992,-1.937,1.752,0.009,0.012,11007.0,6048.0,1.0
"w[0, 24]",0.012,0.988,-1.834,1.901,0.009,0.012,12524.0,5575.0,1.0
"w[0, 25]",-0.056,1.092,-2.053,2.023,0.023,0.016,2242.0,4071.0,1.0
"w[0, 26]",-0.007,0.961,-1.861,1.794,0.01,0.011,10165.0,5893.0,1.0
"w[0, 27]",-0.03,1.018,-2.041,1.769,0.014,0.011,5424.0,5165.0,1.0
"w[0, 28]",0.034,1.02,-1.93,1.912,0.01,0.013,9913.0,5428.0,1.0
"w[0, 29]",0.024,1.013,-1.879,1.924,0.01,0.013,10166.0,5870.0,1.0
"w[0, 30]",-0.013,1.014,-1.943,1.869,0.008,0.013,15802.0,5440.0,1.0
"w[0, 31]",0.01,1.01,-1.811,1.943,0.01,0.013,10298.0,5502.0,1.0
